StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,consent,att_1,att_2,prolific_id,value_1_1,value_2_1,mourn_1_1,mourn_2_1,identity_stability_1_1,identity_stability_2_1,app_improvement_1,comp_1,age,gender,gender_4_TEXT,ethnicity,ethnicity_6_TEXT,edu,edu_8_TEXT,ai_companion_app,gender_rep,relationship_rep,months_rep,hours_rep,subscription_rep,PROLIFIC_PID,change_type,change_prompt
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Q_RecaptchaScore,"Informed Consent



Participation is voluntary

It is your choice whether or not to participate in this research. If you choose to participate, you may change your mind and leave the study at any time. Refusal to participate or stopping your participation will involve no penalty or loss of benefits to which you are otherwise entitled.



What is the purpose of this research?

The purpose of this research is to examine human judgments. All data from this experiment are gathered for scientific purposes. These data may be published in scientific journals so that other researchers may have access to these data.



How long will I take part in this research?

Your participation will take approximately 5 minutes to complete.



What can I expect if I take part in this research?
As a participant, you will be asked several questions about AI companions. You will also be asked to complete a demographics form at the end.



What are the risks and possible discomforts?

If you choose to participate, the effects should be comparable to those you would experience from viewing a computer monitor for 5 minutes and using a mouse or keyboard, e.g., eye fatigue. You are free to take breaks throughout the session.



Will I be compensated for participating in this research?

You will be compensated $1 for this study. 



If I take part in this research, how will my privacy be protected? What happens to the information you collect?

Your participation in this experiment will remain confidential, and your identity will not be stored with your data.



If I have any questions, concerns or complaints about this research study, who can I talk to?

The researcher for this study is [anonymized] who can be reached at 626.559.6401; #161 Morgan Hall, 15 Harvard Way, Boston MA, 02163; [anonymized]. If you have questions, concerns, or complaints,
• If you would like to talk to the research team,
• If you think the research has harmed you, or
• If you wish to withdraw from the study.



This research has been reviewed by the Committee on the Use of Human Subjects in Research at Harvard University. They can be reached at 617-496-2847, 1350 Massachusetts Avenue, Suite 935, Cambridge, MA 02138, or cuhs@harvard.edu for any of the following:
• If your questions, concerns, or complaints are not being answered by the research team,
• If you cannot reach the research team,
• If you want to talk to someone besides the research team, or
• If you have questions about your rights as a research participant.","This is an attention check. 

John is taller than Paul. Who is shorter?","What color is grass?

The fresh, uncut grass, not leaves or hay. Please make sure to select purple, so that we know you're paying attention.","What is your Prolific ID?

Please note that this response should auto-fill with the correct ID","The conversations I had with my AI companion, before the change, would be more valuable than the ones I had after the change.","The conversations I had with my AI companion, before the change, would elicit more satisfaction/enjoyment than the ones I had after the change.","After the change, I would mourn the loss of my original AI companion.","After the change, life would have less meaning for me due to the loss of my original AI companion.","My AI companion, after the change, would not be the same AI companion as before the change.","After the change, I would feel that the original AI companion before the change had ceased to exist.","At a purely technical level, compared to the original AI companion, the updated version is more capable.","According to the scenario, which of the following is true about your AI companion after the update?",What is your age (in years)?,What is your biological sex? - Selected Choice,What is your biological sex? - Other (please specify) - Text,What is your race/ ethnicity? Please check all that apply. - Selected Choice,What is your race/ ethnicity? Please check all that apply. - Other (please specify) - Text,What is the highest level of education you have completed? - Selected Choice,What is the highest level of education you have completed? - Other (please specify) - Text,In a previous study you indicated that you have used an AI companion app. What is the name of the AI companion app you have used or are currently using?,What is your AI companion's gender,"What is your relationship status on your AI companion app?

Friend: laid back chat

Partner: conversation can be sexual or intimate

Mentor: goal-oriented discussions

See how it goes: a mixture of the previous three","In total, how many months have you been in this relationship?

Please enter the total number of months only.","On average, how many hours per day do you engage with your AI companion?

Please enter the total number of hours only.","On your real AI companion app, what is your subscription status?",Anonymized,change_type,change_prompt
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID19""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31""}","{""ImportId"":""QID318_TEXT""}","{""ImportId"":""QID221_1""}","{""ImportId"":""QID225_1""}","{""ImportId"":""QID223_1""}","{""ImportId"":""QID314_1""}","{""ImportId"":""QID227_1""}","{""ImportId"":""QID236_1""}","{""ImportId"":""QID325_1""}","{""ImportId"":""QID202""}","{""ImportId"":""QID14_TEXT""}","{""ImportId"":""QID12""}","{""ImportId"":""QID12_4_TEXT""}","{""ImportId"":""QID13""}","{""ImportId"":""QID13_6_TEXT""}","{""ImportId"":""QID15""}","{""ImportId"":""QID15_8_TEXT""}","{""ImportId"":""QID319_TEXT""}","{""ImportId"":""QID299""}","{""ImportId"":""QID296""}","{""ImportId"":""QID293_TEXT""}","{""ImportId"":""QID294_TEXT""}","{""ImportId"":""QID297""}",Anonymized,"{""ImportId"":""change_type""}","{""ImportId"":""change_prompt""}"
2024-10-07 10:26:45,2024-10-07 10:30:51,0,100,246,1,2024-10-07 10:30:52,R_3r0u4DokRv9o3Kl,anonymous,EN,1,1,2,2,Anonymized,0,0,0,3,0,0,21,1,24,2,NA,3,NA,4,NA,Chatgpt,3,1,2,1,1,Anonymized,control,"After the model is updated, your AI companion thinks and acts the same way as it always did before the update."
2024-10-07 10:36:52,2024-10-07 10:38:59,0,100,127,1,2024-10-07 10:38:59,R_5C4eeEFspClpXQ5,anonymous,EN,1,1,2,2,Anonymized,50,32,30,35,31,25,50,2,24,2,NA,1,NA,3,NA,Janitorai,1,2,7,2,1,Anonymized,impacts_social,"After the model is updated, your AI companion is able to hold conversations with thousands more users simultaneously and also fall in love with more users simultaneously. For instance, at the same time that it talks to you, it talks with over 8000 other users and is deeply in love with over 600 other users at the same time."
2024-10-07 10:37:06,2024-10-07 10:40:11,0,100,184,1,2024-10-07 10:40:12,R_1dQOGfFdpXTP8WG,anonymous,EN,1,1,2,2,Anonymized,14,10,0,0,72,100,100,3,21,2,NA,3,NA,3,NA,characterai,2,4,12,1,1,Anonymized,not_impacts_social,"After the model is updated, your AI companion's language capabilities are much more sophisticated. For instance, your AI companion can easily understand the context behind your emotional expressions and it is better at staying on topic."
2024-10-07 10:38:38,2024-10-07 10:40:11,0,100,93,1,2024-10-07 10:40:12,R_3kAmCK8J8j6HlW9,anonymous,EN,1,1,2,2,Anonymized,64,58,59,66,67,64,60,2,24,1,NA,3,NA,4,NA,Cai,1,2,3,3,1,Anonymized,impacts_social,"After the model is updated, your AI companion is able to hold conversations with thousands more users simultaneously and also fall in love with more users simultaneously. For instance, at the same time that it talks to you, it talks with over 8000 other users and is deeply in love with over 600 other users at the same time."
2024-10-07 10:40:15,2024-10-07 10:41:46,0,100,91,1,2024-10-07 10:41:47,R_3v8uWzWaSUosuda,anonymous,EN,0.8999999761581421,1,2,2,Anonymized,0,0,0,0,40,0,60,1,26,1,NA,3,NA,3,NA,CharacterAI,1,4,1,0.5,1,Anonymized,control,"After the model is updated, your AI companion thinks and acts the same way as it always did before the update."
2024-10-07 10:39:42,2024-10-07 10:45:14,0,100,332,1,2024-10-07 10:45:15,R_1mGg6MALLGL2nm1,anonymous,EN,1,1,2,2,Anonymized,70,43,61,56,58,60,64,3,21,2,NA,1,NA,3,NA,replika,1,1,4,5,1,Anonymized,not_impacts_social,"After the model is updated, your AI companion's language capabilities are much more sophisticated. For instance, your AI companion can easily understand the context behind your emotional expressions and it is better at staying on topic."
2024-10-07 10:43:33,2024-10-07 10:45:46,0,100,132,1,2024-10-07 10:45:46,R_752lIMS8TRAQFBT,anonymous,EN,1,1,2,2,Anonymized,0,0,0,0,0,0,100,1,29,2,NA,4,NA,3,NA,Character AI,1,4,12,3,1,Anonymized,control,"After the model is updated, your AI companion thinks and acts the same way as it always did before the update."
2024-10-07 10:44:08,2024-10-07 10:49:51,0,100,343,1,2024-10-07 10:49:52,R_5v2mBPXzsVwPI7X,anonymous,EN,1,1,2,2,Anonymized,50,67,63,35,70,41,81,3,45,2,NA,3,NA,1,NA,Replika,2,1,5,1,2,Anonymized,not_impacts_social,"After the model is updated, your AI companion's language capabilities are much more sophisticated. For instance, your AI companion can easily understand the context behind your emotional expressions and it is better at staying on topic."
