StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,consent,att_1,att_2,prolific_id,aicomp_name,disap_1_aicomp_1,disap_2_aicomp_1,mourn_1_aicomp_1,mourn_2_aicomp_1,mhealth_1_aicomp_1,mhealth_2_aicomp_1,freq_aicomp,app_name,disap_1_app_1,disap_2_app_1,mourn_1_app_1,mourn_2_app_1,mhealth_1_app_1,mhealth_2_app_1,freq_app,brand_name,disap_1_brand_1,disap_2_brand_1,mourn_1_brand_1,mourn_2_brand_1,mhealth_1_brand_1,mhealth_2_brand_1,freq_brand,game_name,disap_1_game_1,disap_2_game_1,mourn_1_game_1,mourn_2_game_1,mhealth_1_game_1,mhealth_2_game_1,freq_game,voice_name,disap_1_voice_1,disap_2_voice_1,mourn_1_voice_1,mourn_2_voice_1,mhealth_1_voice_1,mhealth_2_voice_1,freq_voice,pet_name,disap_1_pet_1,disap_2_pet_1,mourn_1_pet_1,mourn_2_pet_1,mhealth_1_pet_1,mhealth_2_pet_1,freq_pet,car_name,disap_1_car_1,disap_2_car_1,mourn_1_car_1,mourn_2_car_1,mhealth_1_car_1,mhealth_2_car_1,freq_car,open_ended,comp_1,age,gender,gender_4_TEXT,ethnicity,ethnicity_6_TEXT,edu,edu_8_TEXT,gender_rep,relationship_rep,months_rep,hours_rep,subscription_rep,PROLIFIC_PID
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Q_RecaptchaScore,"Informed Consent



Participation is voluntary

It is your choice whether or not to participate in this research. If you choose to participate, you may change your mind and leave the study at any time. Refusal to participate or stopping your participation will involve no penalty or loss of benefits to which you are otherwise entitled.



What is the purpose of this research?

The purpose of this research is to examine human judgments. All data from this experiment are gathered for scientific purposes. These data may be published in scientific journals so that other researchers may have access to these data.



How long will I take part in this research?

Your participation will take approximately 11 minutes to complete.



What can I expect if I take part in this research?
As a participant, you will be asked several questions. You will also be asked to complete a demographics form at the end.



What are the risks and possible discomforts?

If you choose to participate, the effects should be comparable to those you would experience from viewing a computer monitor for 11 minutes and using a mouse or keyboard, e.g., eye fatigue. You are free to take breaks throughout the session. Some of the images and stories may be mildly emotional, and some of the written stories may be disgust-inducing.



Will I be compensated for participating in this research?

You will be compensated $3 for this study. 



If I take part in this research, how will my privacy be protected? What happens to the information you collect?

Your participation in this experiment will remain confidential, and your identity will not be stored with your data.



If I have any questions, concerns or complaints about this research study, who can I talk to?

The researcher for this study is [anonymized] who can be reached at 626.559.6401; #161 Morgan Hall, 15 Harvard Way, Boston MA, 02163; [anonymized]. If you have questions, concerns, or complaints,
• If you would like to talk to the research team,
• If you think the research has harmed you, or
• If you wish to withdraw from the study.



This research has been reviewed by the Committee on the Use of Human Subjects in Research at Harvard University. They can be reached at 617-496-2847, 1350 Massachusetts Avenue, Suite 935, Cambridge, MA 02138, or cuhs@harvard.edu for any of the following:
• If your questions, concerns, or complaints are not being answered by the research team,
• If you cannot reach the research team,
• If you want to talk to someone besides the research team, or
• If you have questions about your rights as a research participant.","This is an attention check. 

Sarah is older than Mike, who is younger?","What is the color of snow?

In winter, untouched snow is usually... Please select ""yellow"" to show you are paying attention.","What is your Prolific ID?

Please note that this response should auto-fill with the correct ID",Please write the name of this Al companion app.,I would be disappointed.,I would feel frustrated.,I would mourn the loss of my favorite AI companion.,Life would have less meaning for me due to the loss of my favorite AI companion.,The loss of my favorite  AI companion would negatively affect my mental health.,The loss of my favorite  AI companion would seriously harm my mental well-being.,"On average, how many hours per week do/did you spend interacting with your favorite AI companion (Please enter a whole number or decimal if applicable)?",Please write the name of this app.,I would be disappointed.,I would feel frustrated.,I would mourn the loss of my favorite app.,Life would have less meaning for me due to the loss of my favorite app.,The loss of my favorite app would negatively affect my mental health.,The loss of my favorite app would seriously harm my mental well-being.,"On average, how many hours per week do/did you spend interacting with your favorite app (Please enter a whole number or decimal if applicable)?",Please write this brand name.,I would be disappointed.,I would feel frustrated.,I would mourn the loss of my favorite brand name.,Life would have less meaning for me due to the loss of my favorite brand name.,The loss of my favorite brand name would negatively affect my mental health.,The loss of my favorite brand name would seriously harm my mental well-being.,"On average, how many hours per week do/did you spend interacting with your favorite brand (Please enter a whole number or decimal if applicable)?",Please write the name of this game character.,I would be disappointed.,I would feel frustrated.,I would mourn the loss of my favorite game character.,Life would have less meaning for me due to the loss of my favorite game character.,The loss of my favorite game character would negatively affect my mental health.,The loss of my favorite game character would seriously harm my mental well-being.,"On average, how many hours per week do/did you spend interacting with your favorite game character (Please enter a whole number or decimal if applicable)?",Please write the name of this voice assistant.,I would be disappointed.,I would feel frustrated.,I would mourn the loss of my favorite voice assistant.,Life would have less meaning for me due to the loss of my favorite voice assistant.,The loss of my favorite voice assistant would negatively affect my mental health.,The loss of my favorite voice assistant would seriously harm my mental well-being.,"On average, how many hours per week do/did you spend interacting with your favorite voice assistant (Please enter a whole number or decimal if applicable)?","Please write the species of your pet (e.g., cat/dog).",I would be disappointed.,I would feel frustrated.,I would mourn the loss of my pet.,Life would have less meaning for me due to the loss of my pet.,The loss of my pet would negatively affect my mental health.,The loss of my pet would seriously harm my mental well-being.,"On average, how many hours per week do/did you spend interacting with your pet (Please enter a whole number or decimal if applicable)?",Please write the model of this car.,I would be disappointed.,I would feel frustrated.,I would mourn the loss of my favorite car.,Life would have less meaning for me due to the loss of my favorite car.,The loss of my favorite car would negatively affect my mental health.,The loss of my favorite car would seriously harm my mental well-being.,"On average, how many hours per week do/did you spend interacting with your favorite car (Please enter a whole number or decimal if applicable)?",Please provide any additional open-ended thoughts or comments you might have.,"According to the scenario, which of the following is true?",What is your age (in years)?,What is your biological sex? - Selected Choice,What is your biological sex? - Other (please specify) - Text,What is your race/ ethnicity? Please check all that apply. - Selected Choice,What is your race/ ethnicity? Please check all that apply. - Other (please specify) - Text,What is the highest level of education you have completed? - Selected Choice,What is the highest level of education you have completed? - Other (please specify) - Text,What is your AI companion's gender,"What is your relationship status on your AI companion app?

Friend: laid back chat

Partner: conversation can be sexual or intimate

Mentor: goal-oriented discussions

See how it goes: a mixture of the previous three","In total, how many months have you been in this relationship?

Please enter the total number of months only.","On average, how many hours per day do you engage with your AI companion?

Please enter the total number of hours only.","On your AI companion app, what is your subscription status?",Anonymized
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID19""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31""}","{""ImportId"":""QID318_TEXT""}","{""ImportId"":""QID328_TEXT""}","{""ImportId"":""QID343_1""}","{""ImportId"":""QID344_1""}","{""ImportId"":""QID345_1""}","{""ImportId"":""QID346_1""}","{""ImportId"":""QID412_1""}","{""ImportId"":""QID413_1""}","{""ImportId"":""QID347_TEXT""}","{""ImportId"":""QID352_TEXT""}","{""ImportId"":""QID376_1""}","{""ImportId"":""QID377_1""}","{""ImportId"":""QID378_1""}","{""ImportId"":""QID379_1""}","{""ImportId"":""QID414_1""}","{""ImportId"":""QID415_1""}","{""ImportId"":""QID380_TEXT""}","{""ImportId"":""QID357_TEXT""}","{""ImportId"":""QID382_1""}","{""ImportId"":""QID383_1""}","{""ImportId"":""QID384_1""}","{""ImportId"":""QID385_1""}","{""ImportId"":""QID416_1""}","{""ImportId"":""QID417_1""}","{""ImportId"":""QID386_TEXT""}","{""ImportId"":""QID361_TEXT""}","{""ImportId"":""QID388_1""}","{""ImportId"":""QID389_1""}","{""ImportId"":""QID390_1""}","{""ImportId"":""QID391_1""}","{""ImportId"":""QID418_1""}","{""ImportId"":""QID419_1""}","{""ImportId"":""QID392_TEXT""}","{""ImportId"":""QID365_TEXT""}","{""ImportId"":""QID394_1""}","{""ImportId"":""QID395_1""}","{""ImportId"":""QID396_1""}","{""ImportId"":""QID397_1""}","{""ImportId"":""QID420_1""}","{""ImportId"":""QID421_1""}","{""ImportId"":""QID398_TEXT""}","{""ImportId"":""QID369_TEXT""}","{""ImportId"":""QID400_1""}","{""ImportId"":""QID401_1""}","{""ImportId"":""QID402_1""}","{""ImportId"":""QID403_1""}","{""ImportId"":""QID422_1""}","{""ImportId"":""QID423_1""}","{""ImportId"":""QID404_TEXT""}","{""ImportId"":""QID373_TEXT""}","{""ImportId"":""QID406_1""}","{""ImportId"":""QID407_1""}","{""ImportId"":""QID408_1""}","{""ImportId"":""QID409_1""}","{""ImportId"":""QID424_1""}","{""ImportId"":""QID425_1""}","{""ImportId"":""QID410_TEXT""}","{""ImportId"":""QID331_TEXT""}","{""ImportId"":""QID202""}","{""ImportId"":""QID14_TEXT""}","{""ImportId"":""QID12""}","{""ImportId"":""QID12_4_TEXT""}","{""ImportId"":""QID13""}","{""ImportId"":""QID13_6_TEXT""}","{""ImportId"":""QID15""}","{""ImportId"":""QID15_8_TEXT""}","{""ImportId"":""QID299""}","{""ImportId"":""QID296""}","{""ImportId"":""QID293_TEXT""}","{""ImportId"":""QID294_TEXT""}","{""ImportId"":""QID297""}",Anonymized
2024-11-02 16:31:16,2024-11-02 16:39:15,0,100,478,1,2024-11-02 16:39:16,R_6mhZ2bgkZ60KRvH,anonymous,EN,0.8999999761581421,1,2,2,Anonymized,,76,71,0,0,0,0,5,,78,75,0,0,0,0,10,,61,18,0,0,0,0,3,,71,59,0,0,0,0,10,,76,63,0,0,0,0,10,,100,100,100,81,97,91,80,,95,78,65,66,2,9,30,,1,38,2,NA,3,NA,4,NA,3,3,12,1,1,Anonymized
2024-11-02 16:27:56,2024-11-02 16:40:01,0,100,725,1,2024-11-02 16:40:02,R_5tbeMVoHMWpxri1,anonymous,EN,1,1,2,2,Anonymized,,0,0,0,0,0,0,0,,100,100,50,0,20,0,20,,100,70,0,0,0,0,8,,100,50,0,0,0,0,12,,60,20,10,0,0,0,3,,100,30,100,65,10,30,25,,80,80,50,0,0,0,26,,1,43,1,NA,4,NA,5,NA,2,1,0,0,1,Anonymized
2024-11-02 16:38:40,2024-11-02 16:45:27,0,100,406,1,2024-11-02 16:45:27,R_5PuOSMb8wo4W2cS,anonymous,EN,1,1,2,2,Anonymized,,24,32,0,0,0,0,4,,71,68,56,0,0,0,10,,20,12,17,25,0,0,70,,4,10,0,0,0,0,3,,0,1,0,0,0,0,1,,59,40,71,80,50,47,0,,50,0,0,50,50,0,0,,1,21,2,NA,3,NA,3,NA,1,4,0,0,1,Anonymized
2024-11-02 16:47:18,2024-11-02 17:04:19,0,100,1021,1,2024-11-02 17:04:20,R_3CGYWD8xZg56VoI,anonymous,EN,1,1,2,2,Anonymized,,0,3,4,5,3,3,0,,94,78,10,22,89,39,30,,13,16,1,0,5,16,0,,8,9,3,2,4,2,3,,27,23,9,77,18,28,20,,96,95,73,46,53,78,10,,98,76,94,93,81,68,6,,1,62,2,NA,1,NA,4,NA,2,3,12,8,1,Anonymized
2024-11-02 17:04:17,2024-11-02 17:13:01,0,100,523,1,2024-11-02 17:13:02,R_1NCHBKgt5zJbF4a,anonymous,EN,1,1,2,2,Anonymized,,80,40,0,0,0,0,2,,80,80,30,0,5,0,5,,0,0,0,0,0,0,2,,20,10,0,0,0,0,3,,100,40,0,0,0,0,1,,100,100,100,100,100,100,65,,60,60,0,0,0,0,10,,1,24,2,NA,3,NA,3,NA,3,3,3,1,1,Anonymized
2024-11-02 17:04:42,2024-11-02 17:13:19,0,100,516,1,2024-11-02 17:13:19,R_6FLASyBKhxhxyQB,anonymous,EN,1,1,2,2,Anonymized,,56,55,0,0,50,0,10,,90,100,60,50,63,65,15,,0,19,0,0,0,0,10,,70,83,58,31,55,50,15,N/A,0,0,0,0,0,0,0,,100,100,100,61,100,69,100,,30,71,14,8,57,50,5,,1,25,3,NA,3,NA,3,NA,3,4,9,1,1,Anonymized
2024-11-02 17:07:12,2024-11-02 17:21:38,0,100,866,1,2024-11-02 17:21:39,R_1BWmQAA59Oev809,anonymous,EN,1,1,2,2,Anonymized,,90,78,71,55,62,51,5,,76,76,84,54,53,56,12,,3,3,3,2,6,7,3,,90,68,71,63,89,66,6,,100,100,40,15,18,19,6,,100,94,100,98,96,96,12,,83,83,23,28,21,26,5,,2,22,1,NA,1,NA,5,NA,2,1,48,7,1,Anonymized
2024-11-02 17:24:07,2024-11-02 17:29:43,0,100,335,1,2024-11-02 17:29:44,R_7JArd3d1cNcQAuZ,anonymous,EN,1,1,2,2,Anonymized,,24,17,0,0,0,0,3,,53,22,3,0,0,0,10,,10,0,0,0,0,0,0.5,,53,51,0,0,0,0,4,,25,29,3,0,0,0,2,,100,100,100,100,100,99,120,,60,43,84,0,3,3,10,,1,31,2,NA,3,NA,1,NA,1,1,4,0.5,1,Anonymized
