"result";"date"
"%_After = 38.49, X^2(1, N=3072 + 291) = 26.16, p < .001";"2023-02-04"
"%_After = 30.95, X^2(1, N=3072 + 349) = 6.41, p = 0.011";"2023-02-05"
"%_After = 35.35, X^2(1, N=3072 + 546) = 27.26, p < .001";"2023-02-06"
"%_After = 33.33, X^2(1, N=3072 + 462) = 15.66, p < .001";"2023-02-07"
"%_After = 32.48, X^2(1, N=3072 + 431) = 12.01, p < .001";"2023-02-08"
"%_After = 30.72, X^2(1, N=3072 + 433) = 7.24, p = 0.007";"2023-02-09"
"%_After = 37.1, X^2(1, N=3072 + 469) = 32.33, p < .001";"2023-02-10"
"%_After = 41.99, X^2(1, N=3072 + 974) = 108.6, p < .001";"2023-02-11"
"%_After = 44.46, X^2(1, N=3072 + 785) = 120, p < .001";"2023-02-12"
"%_After = 40.08, X^2(1, N=3072 + 731) = 70.34, p < .001";"2023-02-13"
"%_After = 38.58, X^2(1, N=3072 + 648) = 52.51, p < .001";"2023-02-14"
"%_After = 40.76, X^2(1, N=3072 + 422) = 49.01, p < .001";"2023-02-15"
"%_After = 44.01, X^2(1, N=3072 + 359) = 61.17, p < .001";"2023-02-16"
"%_After = 34.59, X^2(1, N=3072 + 318) = 14.68, p < .001";"2023-02-17"
"%_After = 37.46, X^2(1, N=3072 + 283) = 21.86, p < .001";"2023-02-18"
"%_After = 39.53, X^2(1, N=3072 + 258) = 27.09, p < .001";"2023-02-19"
"%_After = 41.98, X^2(1, N=3072 + 212) = 30.55, p < .001";"2023-02-20"
"%_After = 33.33, X^2(1, N=3072 + 225) = 8.08, p = 0.004";"2023-02-21"
"%_After = 36.8, X^2(1, N=3072 + 250) = 17.55, p < .001";"2023-02-22"
"%_After = 36.36, X^2(1, N=3072 + 231) = 15.14, p < .001";"2023-02-23"
"%_After = 34.5, X^2(1, N=3072 + 200) = 9.29, p = 0.002";"2023-02-24"
"%_After = 26.42, X^2(1, N=3072 + 159) = 0.18, p = 0.667";"2023-02-25"
"%_After = 35.88, X^2(1, N=3072 + 170) = 10.34, p = 0.001";"2023-02-26"
"%_After = 43.46, X^2(1, N=3072 + 191) = 32.6, p < .001";"2023-02-27"
"%_After = 37.04, X^2(1, N=3072 + 189) = 13.98, p < .001";"2023-02-28"
