"result";"date"
"%_After = 35.08, X^2(1, N=3072 + 3110) = 533.11, p < .001";"2023-02-04"
"%_After = 35.61, X^2(1, N=3072 + 3844) = 674.59, p < .001";"2023-02-05"
"%_After = 35.28, X^2(1, N=3072 + 6029) = 925.01, p < .001";"2023-02-06"
"%_After = 38.24, X^2(1, N=3072 + 5593) = 1176.94, p < .001";"2023-02-07"
"%_After = 33.89, X^2(1, N=3072 + 4329) = 610.42, p < .001";"2023-02-08"
"%_After = 31.76, X^2(1, N=3072 + 5220) = 539.14, p < .001";"2023-02-09"
"%_After = 35.72, X^2(1, N=3072 + 6042) = 970.95, p < .001";"2023-02-10"
"%_After = 40.65, X^2(1, N=3072 + 10419) = 2210.56, p < .001";"2023-02-11"
"%_After = 40.11, X^2(1, N=3072 + 9110) = 1945.14, p < .001";"2023-02-12"
"%_After = 37.28, X^2(1, N=3072 + 9957) = 1602.58, p < .001";"2023-02-13"
"%_After = 38.22, X^2(1, N=3072 + 7967) = 1511.08, p < .001";"2023-02-14"
"%_After = 37.52, X^2(1, N=3072 + 5725) = 1118.59, p < .001";"2023-02-15"
"%_After = 38.83, X^2(1, N=3072 + 5089) = 1156.15, p < .001";"2023-02-16"
"%_After = 38.94, X^2(1, N=3072 + 4222) = 1010.01, p < .001";"2023-02-17"
"%_After = 37.62, X^2(1, N=3072 + 3806) = 821.96, p < .001";"2023-02-18"
"%_After = 37.61, X^2(1, N=3072 + 3555) = 776.19, p < .001";"2023-02-19"
"%_After = 36.95, X^2(1, N=3072 + 2974) = 626.61, p < .001";"2023-02-20"
"%_After = 37.4, X^2(1, N=3072 + 2858) = 633.64, p < .001";"2023-02-21"
"%_After = 36.45, X^2(1, N=3072 + 3092) = 614.96, p < .001";"2023-02-22"
"%_After = 36.34, X^2(1, N=3072 + 2837) = 565.16, p < .001";"2023-02-23"
"%_After = 35.68, X^2(1, N=3072 + 2273) = 434.18, p < .001";"2023-02-24"
"%_After = 36.02, X^2(1, N=3072 + 2121) = 423.71, p < .001";"2023-02-25"
"%_After = 38.49, X^2(1, N=3072 + 2159) = 551.67, p < .001";"2023-02-26"
"%_After = 35.15, X^2(1, N=3072 + 2424) = 433.2, p < .001";"2023-02-27"
"%_After = 35.12, X^2(1, N=3072 + 2648) = 466.49, p < .001";"2023-02-28"
