ResponseId;StartDate;EndDate;Status;Progress;Duration..in.seconds.;Finished;RecordedDate;DistributionChannel;UserLanguage;prime_vign;restore;value_1;cold_1;mourn_1;mental_health_1;refund_1;petition_1;essence_1;invest_1;well_1_1;well_2_1;well_3_1;well_4_1;well_5_1;explanation;rater_1_identity;rater_1_devaluation;rater_1_mourning;rater_2_identity;rater_2_devaluation;rater_2_mourning;rater_1_identity_change_type;rater_1_devaluation_type;rater_1_mourning_type;value_1_1;value_2_1;value_3_1;gender_rep;age_rep;relationship_rep;months_rep;hours_rep;subscription_rep;exp_level_rep;gender;gender_4_TEXT;ethnicity;ethnicity_6_TEXT;age;edu;edu_8_TEXT;relation_status;relation_status_8_TEXT;close_friends;emotion;sentiment
"{""ImportId"":""_recordId""}";"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}";"{""ImportId"":""endDate"",""timeZone"":""America/Denver""}";"{""ImportId"":""status""}";"{""ImportId"":""progress""}";"{""ImportId"":""duration""}";"{""ImportId"":""finished""}";"{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}";"{""ImportId"":""distributionChannel""}";"{""ImportId"":""userLanguage""}";"{""ImportId"":""QID285""}";"{""ImportId"":""QID317""}";"{""ImportId"":""QID307_1""}";"{""ImportId"":""QID309_1""}";"{""ImportId"":""QID300_1""}";"{""ImportId"":""QID308_1""}";"{""ImportId"":""QID312_1""}";"{""ImportId"":""QID303_1""}";"{""ImportId"":""QID306_1""}";"{""ImportId"":""QID296_1""}";"{""ImportId"":""QID271_1""}";"{""ImportId"":""QID272_1""}";"{""ImportId"":""QID273_1""}";"{""ImportId"":""QID275_1""}";"{""ImportId"":""QID274_1""}";"{""ImportId"":""QID313_TEXT""}";NA;NA;NA;NA;NA;NA;;;;"{""ImportId"":""QID287_1""}";"{""ImportId"":""QID292_1""}";"{""ImportId"":""QID293_1""}";"{""ImportId"":""QID228""}";"{""ImportId"":""QID298_TEXT""}";"{""ImportId"":""QID229""}";"{""ImportId"":""QID235_TEXT""}";"{""ImportId"":""QID236_TEXT""}";"{""ImportId"":""QID232""}";"{""ImportId"":""QID231_TEXT""}";"{""ImportId"":""QID12""}";"{""ImportId"":""QID12_4_TEXT""}";"{""ImportId"":""QID13""}";"{""ImportId"":""QID13_6_TEXT""}";"{""ImportId"":""QID14_TEXT""}";"{""ImportId"":""QID15""}";"{""ImportId"":""QID15_8_TEXT""}";"{""ImportId"":""QID194""}";"{""ImportId"":""QID194_8_TEXT""}";"{""ImportId"":""QID314_TEXT""}";neutral;neutral
R_1CvDTC1hvl8MivE;2023-04-28 23:02:32;2023-04-28 23:07:15;0;100;283;1;2023-04-28 23:07:16;anonymous;EN;5;5;100;100;100;100;100;100;100;100;1;1;1;1;1;;NA;NA;NA;NA;NA;NA;;;;100;100;100;2;21;2;38;3;5;225;3;;7;;33;11;;3;;4;neutral;neutral
R_1dhq8aWCfuK8R6d;2023-04-26 15:23:54;2023-04-27 09:01:21;0;100;63447;1;2023-04-27 09:01:24;anonymous;EN;5;5;60;68;36;75;25;80;60;80;1;1;2;4;2;;NA;NA;NA;NA;NA;NA;;;;100;100;100;2;22;2;2;2;3;1;1;;3;;33;11;;2;;3;neutral;neutral
R_1Ft9wFldxeHNvHF;2023-04-30 08:25:18;2023-04-30 11:15:50;0;100;10231;1;2023-04-30 11:15:51;anonymous;EN;5;4;100;75;100;100;0;0;100;100;0;0;0;0;0;;NA;NA;NA;NA;NA;NA;;;;100;100;100;1;25;2;50;3;5;143;2;;5;;37;8;Some college.;2;;5;neutral;neutral
R_1GNbenPjRDEdz7H;2023-04-22 20:38:03;2023-04-22 20:43:55;0;100;351;1;2023-04-22 20:43:55;anonymous;EN;5;4;100;100;90;75;100;100;100;100;5;5;5;4;5;;NA;NA;NA;NA;NA;NA;;;;100;100;100;2;20;2;19;2;3;29;1;;3;;20;10;;1;;7;neutral;neutral
R_1ILT2JkauxrlcqO;2023-04-21 15:26:48;2023-04-21 15:37:38;0;100;649;1;2023-04-21 15:37:39;anonymous;EN;5;4;85;86;90;73;94;99;88;86;1;1;2;1;2;;NA;NA;NA;NA;NA;NA;;;;100;97;99;2;23;2;3;2;3;31;1;;3;;70;2;;2;;4;neutral;neutral
R_1IozcBy2GNzIFfA;2023-04-21 15:09:21;2023-04-21 15:24:59;0;100;937;1;2023-04-21 15:24:59;anonymous;EN;5;5;85;94;71;40;100;60;100;85;3;5;3;3;3;;NA;NA;NA;NA;NA;NA;;;;100;100;100;2;30;2;3;0.5;3;;1;;3;;39;11;;2;;2;neutral;neutral
R_1Lh977Fo2XRuOT9;2023-04-25 15:07:42;2023-04-25 15:08:09;0;100;27;1;2023-04-25 15:08:10;anonymous;EN;4;5;;;;;;;;;;;;;;;NA;NA;NA;NA;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;neutral;neutral
R_1LwDjKab5QzITZi;2023-04-25 17:12:01;2023-04-25 17:22:40;0;100;639;1;2023-04-25 17:22:41;anonymous;EN;5;5;90;80;80;70;50;80;90;95;1;1;1;1;0;;NA;NA;NA;NA;NA;NA;;;;100;100;100;1;6;2;8;8;3;80;2;;2;;25;10;;1;;7;neutral;neutral
R_1mw8QiRnsOaCfID;2023-04-25 18:22:33;2023-04-25 18:30:18;0;100;465;1;2023-04-25 18:30:19;anonymous;EN;5;5;88;91;77;30;61;22;90;25;3;3;4;4;4;;NA;NA;NA;NA;NA;NA;;;;82;84;85;2;35;2;6;0.5;3;850;1;;3;;50;11;;1;;5;neutral;neutral
