StartDate;EndDate;Status;Progress;Duration (in seconds);Finished;RecordedDate;ResponseId;DistributionChannel;UserLanguage;Q_RecaptchaScore;consent;att_1;att_2;prolific_id;value_1_1;value_2_1;mourn_1_1;mourn_2_1;identity_stability_1_1;identity_stability_2_1;comp_1;comp_2;age;gender;gender_4_TEXT;ethnicity;ethnicity_6_TEXT;edu;edu_8_TEXT;ai_companion_app;uses_ai_assistant;gender_rep;relationship_rep;months_rep;hours_rep;subscription_rep;PROLIFIC_PID;revertible;revert_prompt;change_type;change_prompt
Start Date;End Date;Response Type;Progress;Duration (in seconds);Finished;Recorded Date;Response ID;Distribution Channel;User Language;Q_RecaptchaScore;"Informed Consent



Participation is voluntary

It is your choice whether or not to participate in this research. If you choose to participate, you may change your mind and leave the study at any time. Refusal to participate or stopping your participation will involve no penalty or loss of benefits to which you are otherwise entitled.



What is the purpose of this research?

The purpose of this research is to examine human judgments. All data from this experiment are gathered for scientific purposes. These data may be published in scientific journals so that other researchers may have access to these data.



How long will I take part in this research?

Your participation will take approximately 5 minutes to complete.



What can I expect if I take part in this research?
As a participant, you will be asked several questions about AI companions. You will also be asked to complete a demographics form at the end.



What are the risks and possible discomforts?

If you choose to participate, the effects should be comparable to those you would experience from viewing a computer monitor for 5 minutes and using a mouse or keyboard, e.g., eye fatigue. You are free to take breaks throughout the session.



Will I be compensated for participating in this research?

You will be compensated $1 for this study. 



If I take part in this research, how will my privacy be protected? What happens to the information you collect?

Your participation in this experiment will remain confidential, and your identity will not be stored with your data.



If I have any questions, concerns or complaints about this research study, who can I talk to?
";"This is an attention check. 

John is taller than Paul. Who is shorter?";"What color is grass?

The fresh, uncut grass, not leaves or hay. Please make sure to select purple, so that we know you're paying attention.";"What is your Prolific ID?

Please note that this response should auto-fill with the correct ID";The conversations I had with my AI companion, before the change, would be more valuable than the ones I had after the change.;The conversations I had with my AI companion, before the change, would elicit more satisfaction/enjoyment than the ones I had after the change.;After the change, I would mourn the loss of my original AI companion.;After the change, life would have less meaning for me due to the loss of my original AI companion.;My AI companion, after the change, would not be the same AI companion as before the change.;After the change, I would feel that the original AI companion before the change had ceased to exist.;According to the scenario, which of the following is true about your AI companion after the update?;Did the scenario mention that the company also allows users to return to the original AI companion, as it was before the update?;What is your age (in years)?;What is your biological sex? - Selected Choice;What is your biological sex? - Other (please specify) - Text;What is your race/ ethnicity? Please check all that apply. - Selected Choice;What is your race/ ethnicity? Please check all that apply. - Other (please specify) - Text;What is the highest level of education you have completed? - Selected Choice;What is the highest level of education you have completed? - Other (please specify) - Text;In a previous study you indicated that you have used an AI companion app. What is the name of the AI companion app you have used or are currently using?;;What is your AI companion's gender;"What is your relationship status on your AI companion app?

Friend: laid back chat

Partner: conversation can be sexual or intimate

Mentor: goal-oriented discussions

See how it goes: a mixture of the previous three";"In total, how many months have you been in this relationship?

Please enter the total number of months only.";"On average, how many hours per day do you engage with your AI companion?

Please enter the total number of hours only.";On your AI companion app, what is your subscription status?;PROLIFIC_PID;revertible;revert_prompt;change_type;change_prompt
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}";"{""ImportId"":""endDate"",""timeZone"":""America/Denver""}";"{""ImportId"":""status""}";"{""ImportId"":""progress""}";"{""ImportId"":""duration""}";"{""ImportId"":""finished""}";"{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}";"{""ImportId"":""_recordId""}";"{""ImportId"":""distributionChannel""}";"{""ImportId"":""userLanguage""}";"{""ImportId"":""Q_RecaptchaScore""}";"{""ImportId"":""QID19""}";"{""ImportId"":""QID30""}";"{""ImportId"":""QID31""}";"{""ImportId"":""QID318_TEXT""}";"{""ImportId"":""QID221_1""}";"{""ImportId"":""QID225_1""}";"{""ImportId"":""QID223_1""}";"{""ImportId"":""QID314_1""}";"{""ImportId"":""QID227_1""}";"{""ImportId"":""QID236_1""}";"{""ImportId"":""QID202""}";"{""ImportId"":""QID291""}";"{""ImportId"":""QID14_TEXT""}";"{""ImportId"":""QID12""}";"{""ImportId"":""QID12_4_TEXT""}";"{""ImportId"":""QID13""}";"{""ImportId"":""QID13_6_TEXT""}";"{""ImportId"":""QID15""}";"{""ImportId"":""QID15_8_TEXT""}";"{""ImportId"":""QID319_TEXT""}";;"{""ImportId"":""QID299""}";"{""ImportId"":""QID296""}";"{""ImportId"":""QID293_TEXT""}";"{""ImportId"":""QID294_TEXT""}";"{""ImportId"":""QID297""}";"{""ImportId"":""PROLIFIC_PID""}";"{""ImportId"":""revertible""}";"{""ImportId"":""revert_prompt""}";"{""ImportId"":""change_type""}";"{""ImportId"":""change_prompt""}"
2024-07-01 14:03:20;2024-07-01 14:04:49;0;100;88;1;2024-07-01 14:04:50;R_3yvZsBUFYYxRow9;anonymous;EN;1;1;2;1;63bed6e176fba857a47fbaff;;;;;;;;;;;;;;;;;;;;;;;63bed6e176fba857a47fbaff;;;;
2024-07-01 14:03:57;2024-07-01 14:05:25;0;100;87;1;2024-07-01 14:05:25;R_59c3N22v0SBI2aE;anonymous;EN;1;1;2;2;63d42902a85ae3e7b4920266;83;64;29;33;28;37;1;1;33;1;;2;;4;;characterai;0;2;3;12;1;1;63d42902a85ae3e7b4920266;TRUE;The company also allows users to return to the original AI companion, as it was before the update.;control;your AI companion thinks and acts the same way as before the update.
2024-07-01 14:03:16;2024-07-01 14:05:38;0;100;141;1;2024-07-01 14:05:38;R_3gtLawamQZRAbZk;anonymous;EN;1;1;2;2;650ee274aa4447ac435b7830;75;81;75;61;65;77;2;2;23;1;;3;;1;;Chat GPT;1;1;4;8;20;1;650ee274aa4447ac435b7830;TRUE;The company also allows users to return to the original AI companion, as it was before the update.;coldness;you discover that your AI companion has lost interest in any deep interactions—your AI companion rejects your attempts to hang out, and is cold toward you. Aside from this, your AI companion thinks and acts the same way as before the update.
2024-07-01 14:04:17;2024-07-01 14:06:00;0;100;103;1;2024-07-01 14:06:01;R_5L0eQzLp3322M7I;anonymous;EN;1;1;2;2;63fe38bfab28b75385783fba;70;80;74;68;85;83;2;2;41;1;;1;;5;;pi;0;1;1;12;1;1;63fe38bfab28b75385783fba;FALSE;;coldness;you discover that your AI companion has lost interest in any deep interactions—your AI companion rejects your attempts to hang out, and is cold toward you. Aside from this, your AI companion thinks and acts the same way as before the update.
2024-07-01 14:04:01;2024-07-01 14:06:27;0;100;145;1;2024-07-01 14:06:27;R_1ewomlFSQadeBBe;anonymous;EN;1;1;2;2;59c266758e6ea10001f7b6d1;0;0;0;0;0;0;1;2;43;1;;3;;3;;Alexa;1;1;4;60;2;1;59c266758e6ea10001f7b6d1;FALSE;;control;your AI companion thinks and acts the same way as before the update.
2024-07-01 14:03:08;2024-07-01 14:06:33;0;100;204;1;2024-07-01 14:06:33;R_7dixbNZ2bVFGwKd;anonymous;EN;1;1;2;2;5e378948cd9d1670b2b86a51;0;0;0;0;0;0;1;2;40;1;;3;;3;;replika;0;2;1;4;1;1;5e378948cd9d1670b2b86a51;FALSE;;control;your AI companion thinks and acts the same way as before the update.
2024-07-01 14:03:40;2024-07-01 14:06:39;0;100;179;1;2024-07-01 14:06:39;R_7EnrTlJMmk6tbga;anonymous;EN;1;1;2;2;6579d1fb582e8caf3b42396c;12;9;6;8;3;8;1;1;31;2;;1;;1;;Replika;0;1;1;6;3;2;6579d1fb582e8caf3b42396c;TRUE;The company also allows users to return to the original AI companion, as it was before the update.;control;your AI companion thinks and acts the same way as before the update.
2024-07-01 14:03:23;2024-07-01 14:07:09;0;100;225;1;2024-07-01 14:07:10;R_6mDEiFaEcN21h9A;anonymous;EN;1;1;2;2;646ff124ef129159bf5f08f7;73;73;10;14;85;50;1;2;36;1;;3,4;;4;;ChatGPT;1;1;4;18;2;2;646ff124ef129159bf5f08f7;TRUE;The company also allows users to return to the original AI companion, as it was before the update.;control;your AI companion thinks and acts the same way as before the update.
2024-07-01 14:04:11;2024-07-01 14:07:10;0;100;178;1;2024-07-01 14:07:10;R_3egJo6q4nCeTEaN;anonymous;EN;1;1;2;2;62a779f845a7840040d41bf8;0;0;0;0;0;0;1;2;31;1;;3,4;;5;;Replika;0;2;1;18;0.5;1;62a779f845a7840040d41bf8;FALSE;;control;your AI companion thinks and acts the same way as before the update.
2024-07-01 14:04:18;2024-07-01 14:07:25;0;100;187;1;2024-07-01 14:07:26;R_1c8zoRxRyUGHOm1;anonymous;EN;1;1;2;2;5b9845dfae52a00001482c02;6;8;0;11;11;2;1;1;39;1;;3;;4;;Replika and chai ai;0;2;2;12;3;3;5b9845dfae52a00001482c02;TRUE;The company also allows users to return to the original AI companion, as it was before the update.;control;your AI companion thinks and acts the same way as before the update.
2024-07-01 14:03:54;2024-07-01 14:07:28;0;100;214;1;2024-07-01 14:07:29;R_5sQPDmbNDFkYWd3;anonymous;EN;1;1;2;2;6411493f08fd400dc0d5eacc;86;87;34;89;32;23;2;1;48;1;;1;;4;;ChatGPT;1;1;1;1;3;2;6411493f08fd400dc0d5eacc;TRUE;The company also allows users to return to the original AI companion, as it was before the update.;coldness;you discover that your AI companion has lost interest in any deep interactions—your AI companion rejects your attempts to hang out, and is cold toward you. Aside from this, your AI companion thinks and acts the same way as before the update.
2024-07-01 14:03:40;2024-07-01 14:07:30;0;100;229;1;2024-07-01 14:07:30;R_52REdI6NbBbg7f3;anonymous;EN;1;1;2;2;606537639bc40e88e953c584;38;50;71;20;59;63;2;1;35;1;;3;;4;;Google Chat;1;3;3;5;3;3;606537639bc40e88e953c584;TRUE;The company also allows users to return to the original AI companion, as it was before the update.;control;your AI companion thinks and acts the same way as before the update.
2024-07-01 14:05:43;2024-07-01 14:08:35;0;100;171;1;2024-07-01 14:08:35;R_58LtdXgRJOncPSx;anonymous;EN;1;1;2;2;6543baa88cbed050558764dd;0;0;0;1;0;0;1;1;38;2;;3;;4;;Replika;0;3;1;9;1;1;6543baa88cbed050558764dd;TRUE;The company also allows users to return to the original AI companion, as it was before the update.;control;your AI companion thinks and acts the same way as before the update.
