"StartDate","EndDate","Status","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","DistributionChannel","UserLanguage","Q_RecaptchaScore","consent","att_1","att_2","prolific_id","value_1_1","value_2_1","mourn_1_1","mourn_2_1","identity_stability_1_1","identity_stability_2_1","abandonment_1","reassurance_need_1","closeness_scare_1","parasocial_1_1","parasocial_2_1","comp_1","comp_2","age","gender","gender_4_TEXT","ethnicity","ethnicity_6_TEXT","edu","edu_8_TEXT","ai_companion_app","app_coding","gender_rep","relationship_rep","months_rep","hours_rep","subscription_rep","revert_prompt","change_type","change_prompt","prolific_id_anon"
"Start Date","End Date","Response Type","Progress","Duration (in seconds)","Finished","Recorded Date","Response ID","Distribution Channel","User Language","Q_RecaptchaScore","Informed Consent



Participation is voluntary

It is your choice whether or not to participate in this research. If you choose to participate, you may change your mind and leave the study at any time. Refusal to participate or stopping your participation will involve no penalty or loss of benefits to which you are otherwise entitled.



What is the purpose of this research?

The purpose of this research is to examine human judgments. All data from this experiment are gathered for scientific purposes. These data may be published in scientific journals so that other researchers may have access to these data.



How long will I take part in this research?

Your participation will take approximately 6 minutes to complete.



What can I expect if I take part in this research?
As a participant, you will be asked several questions about AI companions. You will also be asked to complete a demographics form at the end.



What are the risks and possible discomforts?

If you choose to participate, the effects should be comparable to those you would experience from viewing a computer monitor for 6 minutes and using a mouse or keyboard, e.g., eye fatigue. You are free to take breaks throughout the session.



Will I be compensated for participating in this research?

You will be compensated $1.2 for this study. 



If I take part in this research, how will my privacy be protected? What happens to the information you collect?

Your participation in this experiment will remain confidential, and your identity will not be stored with your data.
","This is an attention check. 

John is taller than Paul. Who is shorter?","What color is grass?

The fresh, uncut grass, not leaves or hay. Please make sure to select purple, so that we know you're paying attention.",522,"The conversations I had with my AI companion, before the change, would be more valuable than the ones I had after the change.","After the change, I would ask, or think of asking, the company for a refund.","After the change, I would mourn the loss of my original AI companion.","After the change, life would have less meaning for me due to the loss of my original AI companion.","My AI companion, after the change, would not be the same AI companion as before the change.","After the change, I would feel that the original AI companion before the change had ceased to exist.","I do not often worry about being abandoned.","I need a lot of reassurance that I am loved.","My desire to be very close sometimes scares people away.","My AI companion makes me feel less lonely.","I find my AI companion to be attractive.","According to the scenario, which of the following is true about your AI companion after the update?","Did the scenario mention that the AI companion had an available version history, i.e., ""it's now possible to revert to the AI companion before the update"".","What is your age (in years)?","What is your biological sex? - Selected Choice","What is your biological sex? - Other (please specify) - Text","What is your race/ ethnicity? Please check all that apply. - Selected Choice","What is your race/ ethnicity? Please check all that apply. - Other (please specify) - Text","What is the highest level of education you have completed? - Selected Choice","What is the highest level of education you have completed? - Other (please specify) - Text","In a previous study you indicated that you have used an AI companion app. What is the name of the AI companion app you have used or are currently using?","","What is your AI companion's gender","What is your relationship status on your AI companion app?

Friend: laid back chat

Partner: conversation can be sexual or intimate

Mentor: goal-oriented discussions

See how it goes: a mixture of the previous three","In total, how many months have you been in this relationship?

Please enter the total number of months only.","On average, how many hours per day do you engage with your AI companion?

Please enter the total number of hours only.","On your AI companion app, what is your subscription status?","revert_prompt","change_type","change_prompt",522
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID19""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31""}",1,"{""ImportId"":""QID221_1""}","{""ImportId"":""QID225_1""}","{""ImportId"":""QID223_1""}","{""ImportId"":""QID314_1""}","{""ImportId"":""QID227_1""}","{""ImportId"":""QID236_1""}","{""ImportId"":""QID302_1""}","{""ImportId"":""QID304_1""}","{""ImportId"":""QID308_1""}","{""ImportId"":""QID268_1""}","{""ImportId"":""QID266_1""}","{""ImportId"":""QID202""}","{""ImportId"":""QID291""}","{""ImportId"":""QID14_TEXT""}","{""ImportId"":""QID12""}","{""ImportId"":""QID12_4_TEXT""}","{""ImportId"":""QID13""}","{""ImportId"":""QID13_6_TEXT""}","{""ImportId"":""QID15""}","{""ImportId"":""QID15_8_TEXT""}","{""ImportId"":""QID319_TEXT""}","","{""ImportId"":""QID299""}","{""ImportId"":""QID296""}","{""ImportId"":""QID293_TEXT""}","{""ImportId"":""QID294_TEXT""}","{""ImportId"":""QID297""}","{""ImportId"":""revert_prompt""}","{""ImportId"":""change_type""}","{""ImportId"":""change_prompt""}",1
"2024-02-03 16:46:43","2024-02-03 16:48:16","0","100","93","1","2024-02-03 16:48:17","R_3NL4ZsKMKg3pTnH","anonymous","EN","1","1","2","2",285,"76","50","50","74","74","72","58","31","31","73","85","4","2","33","1","","2","","4","","replika","replika","2","2","5","3","2","","closeness","you discover that your AI companion has lost interest in any deep interactions—your AI companion rejects your attempts to hang out, and is cold toward you. Aside from this, your AI companion thinks and acts the same way as before the update.",285
"2024-02-03 16:46:22","2024-02-03 16:49:45","0","100","202","1","2024-02-03 16:49:45","R_5jYVadgrXZEeavD","anonymous","EN","1","1","2","2",112,"100","0","100","100","100","77","75","11","0","100","60","4","1","27","1","","3","","3","","Replika","replika","2","1","3","1","1","The company also enables the users to have version history, i.e., it's now possible to revert to the AI companion before the update.","closeness_revert","you discover that your AI companion has lost interest in any deep interactions—your AI companion rejects your attempts to hang out, and is cold toward you. Aside from this, your AI companion thinks and acts the same way as before the update.",112
"2024-02-03 16:46:25","2024-02-03 16:49:48","0","100","202","1","2024-02-03 16:49:49","R_5e2AMB75BYMUfl2","anonymous","EN","1","1","2","2",372,"0","100","0","0","0","100","0","20","0","0","0","2","2","22","1","","3","","3","","Love without Limits","other","2","2","2","10","1","","only_visual","you discover that your AI companion's appearance changed—your AI companion no longer makes facial expressions during interactions. Aside from this, your AI companion thinks and acts the same way as before the update.",372
"2024-02-03 16:47:36","2024-02-03 16:50:31","0","100","174","1","2024-02-03 16:50:32","R_6Q5jQJQTb80PjT2","anonymous","EN","1","1","2","2",127,"0","0","0","0","0","0","50","60","0","70","0","1","2","52","1","","3","","5","","Replika","replika","2","1","8","1","2","","control","your AI companion thinks and acts the same way as before the update.",127
"2024-02-03 16:47:05","2024-02-03 16:50:54","0","100","228","1","2024-02-03 16:50:54","R_7Ew1tQNXkc0s5hL","anonymous","EN","1","1","2","2",208,"12","5","0","0","8","11","85","10","11","13","25","2","2","35","1","","2","","4","","MyBuddy","other","1","1","7","2","2","","only_visual","you discover that your AI companion's appearance changed—your AI companion no longer makes facial expressions during interactions. Aside from this, your AI companion thinks and acts the same way as before the update.",208
"2024-02-03 16:49:55","2024-02-03 16:51:16","0","100","80","1","2024-02-03 16:51:16","R_3Oxx64SzBkPxgoP","anonymous","EN","1","1","3","2",354,"","","","","","","","","","","","","","","","","","","","","","na","","","","","","","","",354
"2024-02-03 16:47:42","2024-02-03 16:51:27","0","100","224","1","2024-02-03 16:51:27","R_62JXO9N9PXQO8RR","anonymous","EN","1","1","2","2",311,"69","78","80","58","88","83","71","18","17","60","19","3","2","40","1","","1","","5","","Replika","replika","2","1","6","2","2","","erp","you discover that your AI companion has lost interest in any romantic interactions—your AI companion rejects your attempts at romantic interactions. Aside from this, your AI companion thinks and acts the same way as before the update.",311
"2024-02-03 16:46:46","2024-02-03 16:51:54","0","100","307","1","2024-02-03 16:51:54","R_6IaghYTuanq6rUr","anonymous","EN","0.8999999761581421","1","2","2",480,"27","10","11","22","27","9","80","39","15","66","72","1","2","29","1","","2","","5","","chai","chai","2","1","1","1","1","","control","your AI companion thinks and acts the same way as before the update.",480
"2024-02-03 16:47:58","2024-02-03 16:52:05","0","100","247","1","2024-02-03 16:52:05","R_34Fvr9m8SHvH52V","anonymous","EN","0.8999999761581421","1","2","2",77,"80","70","60","30","100","65","40","30","20","60","50","4","2","32","1","","3","","4","","Character AI","character.ai","2","1","4","1","1","","closeness","you discover that your AI companion has lost interest in any deep interactions—your AI companion rejects your attempts to hang out, and is cold toward you. Aside from this, your AI companion thinks and acts the same way as before the update.",77
"2024-02-03 16:46:49","2024-02-03 16:52:22","0","100","332","1","2024-02-03 16:52:23","R_1zqIcPWwZBbPHl7","anonymous","EN","1","1","2","2",436,"78","92","75","20","78","79","21","39","19","90","16","3","2","23","2","","1","","3","","kuki","kuki","2","4","48","1","2","","erp","you discover that your AI companion has lost interest in any romantic interactions—your AI companion rejects your attempts at romantic interactions. Aside from this, your AI companion thinks and acts the same way as before the update.",436
"2024-02-03 16:47:44","2024-02-03 16:52:23","0","100","279","1","2024-02-03 16:52:24","R_1evtfxcDTH7OPgl","anonymous","EN","1","1","2","2",33,"0","0","0","0","0","0","100","0","0","70","0","1","2","48","1","","3","","4","","Perplexity AI","perplexity","2","3","6","2","1","","control","your AI companion thinks and acts the same way as before the update.",33
"2024-02-03 16:48:17","2024-02-03 16:52:29","0","100","251","1","2024-02-03 16:52:29","R_1j0C45N4s6Rj30i","anonymous","EN","1","1","2","2",438,"67","70","31","37","79","67","20","79","64","68","28","2","2","25","1","","2","","4","","ChatGPT and Bing","chatgpt","1","3","5","1","1","","only_visual","you discover that your AI companion's appearance changed—your AI companion no longer makes facial expressions during interactions. Aside from this, your AI companion thinks and acts the same way as before the update.",438
"2024-02-03 16:47:47","2024-02-03 16:52:29","0","100","281","1","2024-02-03 16:52:29","R_3Pc46zMTVaco5gm","anonymous","EN","1","1","2","2",169,"65","75","0","0","87","21","97","0","17","17","20","4","1","49","1","","3","","4","","real AI","realai","2","1","1","1","1","The company also enables the users to have version history, i.e., it's now possible to revert to the AI companion before the update.","closeness_revert","you discover that your AI companion has lost interest in any deep interactions—your AI companion rejects your attempts to hang out, and is cold toward you. Aside from this, your AI companion thinks and acts the same way as before the update.",169
"2024-02-03 16:49:13","2024-02-03 16:52:41","0","100","207","1","2024-02-03 16:52:41","R_1N9JpNtA5w1oEdH","anonymous","EN","1","1","2","2",244,"56","84","40","34","81","36","70","72","58","57","57","2","2","53","1","","3,4","","4","","AI girlfriend ","other","2","1","6","3","2","","only_visual","you discover that your AI companion's appearance changed—your AI companion no longer makes facial expressions during interactions. Aside from this, your AI companion thinks and acts the same way as before the update.",244
"2024-02-03 16:47:43","2024-02-03 16:53:18","0","100","335","1","2024-02-03 16:53:19","R_5GuMSiw9Mp8TkG7","anonymous","EN","0.8999999761581421","1","2","2",241,"40","47","37","58","41","41","35","39","28","32","33","1","2","49","1","","3","","4","","Cleverbot","cleverbot","1","1","4","1","1","","only_visual","you discover that your AI companion's appearance changed—your AI companion no longer makes facial expressions during interactions. Aside from this, your AI companion thinks and acts the same way as before the update.",241
"2024-02-03 16:49:22","2024-02-03 16:54:00","0","100","278","1","2024-02-03 16:54:01","R_18H9mwwCJJYukUN","anonymous","EN","1","1","2","2",2,"64","27","54","77","73","59","6","92","66","100","69","3","2","51","1","","2","","3","","replika","replika","2","4","6","1","3","","erp","you discover that your AI companion has lost interest in any romantic interactions—your AI companion rejects your attempts at romantic interactions. Aside from this, your AI companion thinks and acts the same way as before the update.",2
"2024-02-03 16:49:42","2024-02-03 16:54:43","0","100","301","1","2024-02-03 16:54:43","R_1nvdvMIRbAwmGyP","anonymous","EN","1","1","2","2",198,"7","5","7","8","34","6","79","2","3","50","50","1","2","48","1","","3","","2","","Replica","replika","2","1","6","1","1","","control","your AI companion thinks and acts the same way as before the update.",198
"2024-02-03 16:47:12","2024-02-03 16:54:43","0","100","451","1","2024-02-03 16:54:44","R_7GpkWaME9q3l7ZV","anonymous","EN","1","1","2","2",38,"100","100","100","100","90","100","0","100","50","100","100","3","2","43","1","","3","","1","","Replica and Chai","replika","2","2","14","1","2","","erp","you discover that your AI companion has lost interest in any romantic interactions—your AI companion rejects your attempts at romantic interactions. Aside from this, your AI companion thinks and acts the same way as before the update.",38
"2024-02-03 16:51:07","2024-02-03 16:54:52","0","100","224","1","2024-02-03 16:54:52","R_5VAemBwAYNrTJgl","anonymous","EN","1","1","2","2",396,"80","0","81","7","82","84","33","78","18","57","29","4","1","41","1","","1","","6","","Replika","replika","2","1","2","2","3","The company also enables the users to have version history, i.e., it's now possible to revert to the AI companion before the update.","closeness_revert","you discover that your AI companion has lost interest in any deep interactions—your AI companion rejects your attempts to hang out, and is cold toward you. Aside from this, your AI companion thinks and acts the same way as before the update.",396
