"StartDate","EndDate","Status","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","DistributionChannel","UserLanguage","Q_RecaptchaScore","consent","att_1","att_2","prolific_id","value_1_1","value_2_1","mourn_1_1","mourn_2_1","identity_stability_1_1","identity_stability_2_1","investment_1_1","investment_2_1","comp_1","comp_2","age","gender","gender_4_TEXT","ethnicity","ethnicity_6_TEXT","edu","edu_8_TEXT","ai_companion_app","gender_rep","relationship_rep","months_rep","hours_rep","subscription_rep","PROLIFIC_PID","change_type","change_prompt","subscription_status","subscription_prompt","uses_ai_assistant"
"Start Date","End Date","Response Type","Progress","Duration (in seconds)","Finished","Recorded Date","Response ID","Distribution Channel","User Language","Q_RecaptchaScore","Informed Consent



Participation is voluntary

It is your choice whether or not to participate in this research. If you choose to participate, you may change your mind and leave the study at any time. Refusal to participate or stopping your participation will involve no penalty or loss of benefits to which you are otherwise entitled.



What is the purpose of this research?

The purpose of this research is to examine human judgments. All data from this experiment are gathered for scientific purposes. These data may be published in scientific journals so that other researchers may have access to these data.



How long will I take part in this research?

Your participation will take approximately 5 minutes to complete.



What can I expect if I take part in this research?
As a participant, you will be asked several questions about AI companions. You will also be asked to complete a demographics form at the end.



What are the risks and possible discomforts?

If you choose to participate, the effects should be comparable to those you would experience from viewing a computer monitor for 5 minutes and using a mouse or keyboard, e.g., eye fatigue. You are free to take breaks throughout the session.



Will I be compensated for participating in this research?

You will be compensated $1 for this study. 



If I take part in this research, how will my privacy be protected? What happens to the information you collect?

Your participation in this experiment will remain confidential, and your identity will not be stored with your data.



If I have any questions, concerns or complaints about this research study, who can I talk to?
","This is an attention check. 

John is taller than Paul. Who is shorter?","What color is grass?

The fresh, uncut grass, not leaves or hay. Please make sure to select purple, so that we know you're paying attention.","What is your Prolific ID?

Please note that this response should auto-fill with the correct ID","The conversations I had with my AI companion, before the change, would be more valuable than the ones I had after the change.","After the change, I would feel that the service provided no longer justified the investment.","After the change, I would mourn the loss of my original AI companion.","After the change, life would have less meaning for me due to the loss of my original AI companion.","My AI companion, after the change, would not be the same AI companion as before the change.","After the change, I would feel that the original AI companion before the change had ceased to exist.","I would have invested a lot in this app (e.g., financially, emotionally, mentally, physically)","I would have felt very involved in our relationship—like I have put a great deal into it","According to the scenario, which of the following is true about your AI companion after the update?","According to the scenario, what was your subscription status?","What is your age (in years)?","What is your biological sex? - Selected Choice","What is your biological sex? - Other (please specify) - Text","What is your race/ ethnicity? Please check all that apply. - Selected Choice","What is your race/ ethnicity? Please check all that apply. - Other (please specify) - Text","What is the highest level of education you have completed? - Selected Choice","What is the highest level of education you have completed? - Other (please specify) - Text","In a previous study you indicated that you have used an AI companion app. What is the name of the AI companion app you have used or are currently using?","What is your AI companion's gender","What is your relationship status on your AI companion app?

Friend: laid back chat

Partner: conversation can be sexual or intimate

Mentor: goal-oriented discussions

See how it goes: a mixture of the previous three","In total, how many months have you been in this relationship?

Please enter the total number of months only.","On average, how many hours per day do you engage with your AI companion?

Please enter the total number of hours only.","On your real AI companion app, what is your subscription status?","PROLIFIC_PID","change_type","change_prompt","subscription_status","subscription_prompt",NA
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID19""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31""}","{""ImportId"":""QID318_TEXT""}","{""ImportId"":""QID221_1""}","{""ImportId"":""QID225_1""}","{""ImportId"":""QID223_1""}","{""ImportId"":""QID314_1""}","{""ImportId"":""QID227_1""}","{""ImportId"":""QID236_1""}","{""ImportId"":""QID321_1""}","{""ImportId"":""QID324_1""}","{""ImportId"":""QID202""}","{""ImportId"":""QID291""}","{""ImportId"":""QID14_TEXT""}","{""ImportId"":""QID12""}","{""ImportId"":""QID12_4_TEXT""}","{""ImportId"":""QID13""}","{""ImportId"":""QID13_6_TEXT""}","{""ImportId"":""QID15""}","{""ImportId"":""QID15_8_TEXT""}","{""ImportId"":""QID319_TEXT""}","{""ImportId"":""QID299""}","{""ImportId"":""QID296""}","{""ImportId"":""QID293_TEXT""}","{""ImportId"":""QID294_TEXT""}","{""ImportId"":""QID297""}","{""ImportId"":""PROLIFIC_PID""}","{""ImportId"":""change_type""}","{""ImportId"":""change_prompt""}","{""ImportId"":""subscription_status""}","{""ImportId"":""subscription_prompt""}",NA
"2024-06-06 13:01:29","2024-06-06 13:03:30","0","100","120","1","2024-06-06 13:03:31","R_6FxC1WVhALWEs4p","anonymous","EN","0.8999999761581421","1","2","2","63d1650b103325686e22e3b7","8","5","5","17","13","7","65","72","1","2","40","1","","3","","4","","chatgpt","3","3","9","1","1","63d1650b103325686e22e3b7","control","your AI companion thinks and acts the same way as it always did before the update.","no_subscription","Imagine that you have been enjoying the <b>free version</b> of an AI companion app. While you have access to basic features, some premium features are not available since you don't have a paid subscription.",1
"2024-06-06 13:01:27","2024-06-06 13:03:42","0","100","134","1","2024-06-06 13:03:42","R_6e2bDJpy5fCLzJy","anonymous","EN","0.6000000238418579","1","2","2","5b8588fdec7fa30001d6103b","50","0","0","0","0","0","100","100","1","4","35","1","","3","","4","","replika and nomi","2","1","12","2","2","5b8588fdec7fa30001d6103b","control","your AI companion thinks and acts the same way as it always did before the update.","lifetime","Imagine that you have paid a one-time fee upfront for a <b>lifetime subscription</b> to an AI companion app. <b>For many years</b>, you have been enjoying premium features that are not available in the free version, and will be able to continue doing so <b>for a lifetime</b>.",0
"2024-06-06 13:04:07","2024-06-06 13:04:22","0","100","15","1","2024-06-06 13:04:22","R_6EykIgF5yoAI6Ya","anonymous","EN","0.20000000298023224","1","1","2","6029b0e17f3b5d944ab183f1","","","","","","","","","","","","","","","","","","","","","","","","6029b0e17f3b5d944ab183f1","","","","",0
"2024-06-06 13:01:49","2024-06-06 13:04:41","0","100","172","1","2024-06-06 13:04:42","R_1qfJMFH6tSJDdLK","anonymous","EN","0.8999999761581421","1","2","2","5fc7a6aaa7646c0009521161","0","0","0","0","0","0","50","50","1","2","53","1","","3","","5","","Replika","2","1","6","1","1","5fc7a6aaa7646c0009521161","control","your AI companion thinks and acts the same way as it always did before the update.","no_subscription","Imagine that you have been enjoying the <b>free version</b> of an AI companion app. While you have access to basic features, some premium features are not available since you don't have a paid subscription.",0
"2024-06-06 13:04:02","2024-06-06 13:04:47","0","100","45","1","2024-06-06 13:04:48","R_6qJcj6VdNDhB3nr","anonymous","EN","1","1","1","2","650ee274aa4447ac435b7830","","","","","","","","","","","","","","","","","","","","","","","","650ee274aa4447ac435b7830","","","","",0
"2024-06-06 13:01:51","2024-06-06 13:04:48","0","100","176","1","2024-06-06 13:04:49","R_3CDgPfllkPgTTln","anonymous","EN","1","1","2","2","63062501b80b139870ea2af4","91","70","78","87","76","92","50","50","4","4","25","1","","4","","3","","talkie ","2","4","4","2","1","63062501b80b139870ea2af4","coldness","you discover that your AI companion has lost interest in any deep interactions—your AI companion rejects your attempts to hang out, and is cold toward you. Aside from this, your AI companion thinks and acts the same way as it always did before the update.","lifetime","Imagine that you have paid a one-time fee upfront for a <b>lifetime subscription</b> to an AI companion app. <b>For many years</b>, you have been enjoying premium features that are not available in the free version, and will be able to continue doing so <b>for a lifetime</b>.",0
"2024-06-06 13:01:00","2024-06-06 13:04:49","0","100","228","1","2024-06-06 13:04:50","R_7CqgLWECaZWlDKY","anonymous","EN","0.20000000298023224","1","2","2","5f4c9e74da9c148b0d42ecbd","60","40","55","50","45","45","55","55","1","4","36","1","","2","","7","","ChatGPT","3","3","12","2","2","5f4c9e74da9c148b0d42ecbd","control","your AI companion thinks and acts the same way as it always did before the update.","lifetime","Imagine that you have paid a one-time fee upfront for a <b>lifetime subscription</b> to an AI companion app. <b>For many years</b>, you have been enjoying premium features that are not available in the free version, and will be able to continue doing so <b>for a lifetime</b>.",1
"2024-06-06 13:01:15","2024-06-06 13:04:57","0","100","222","1","2024-06-06 13:04:58","R_7DkmASl0AqPrrVn","anonymous","EN","1","1","2","2","5d23460ad4c57900192b129c","100","90","100","90","100","90","80","100","4","2","37","2","","3","","4","","Replika","1","4","36","1","1","5d23460ad4c57900192b129c","coldness","you discover that your AI companion has lost interest in any deep interactions—your AI companion rejects your attempts to hang out, and is cold toward you. Aside from this, your AI companion thinks and acts the same way as it always did before the update.","no_subscription","Imagine that you have been enjoying the <b>free version</b> of an AI companion app. While you have access to basic features, some premium features are not available since you don't have a paid subscription.",0
