"","StartDate","EndDate","Status","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","DistributionChannel","UserLanguage","Q_RecaptchaScore","consent","att_1","att_2","prolific_id","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10","prolific_id_anon"
"1","Start Date","End Date","Response Type","Progress","Duration (in seconds)","Finished","Recorded Date","Response ID","Distribution Channel","User Language","Q_RecaptchaScore","Participation is voluntary

It is your choice whether or not to participate in this research. If you choose to participate, you may change your mind and leave the study at any time. Refusal to participate or stopping your participation will involve no penalty or loss of benefits to which you are otherwise entitled.



What is the purpose of this research?

The purpose of this research is to examine human visual performance and judgments. All data from this experiment are gathered for scientific purposes. These data may be published in scientific journals so that other researchers may have access to these data.



How long will I take part in this research?

Your participation will take approximately 1 minute to complete.


What can I expect if I take part in this research?
As a participant, you will be asked to answer some questions.



What are the risks and possible discomforts?

If you choose to participate, the effects should be comparable to those you would experience from viewing a computer monitor for 1 minute and using a mouse or keyboard, e.g., eye fatigue. You are free to take breaks throughout the session.



Will I be compensated for participating in this research?

You will be compensated $0.17 for this study. 



If I take part in this research, how will my privacy be protected? What happens to the information you collect?

Your participation in this experiment will remain confidential, and your identity will not be stored with your data.



If I have any questions, concerns or complaints about this research study, who can I talk to?

The researcher for this study is [anonymized] who can be reached at 626.559.6401; [anonymized]. If you have questions, concerns, or complaints,
• If you would like to talk to the research team,
• If you think the research has harmed you, or
• If you wish to withdraw from the study.","This is an attention check. 

John is taller than Paul. Who is shorter?","What color is grass?

The fresh, uncut grass, not leaves or hay. Please make sure to select purple, so that we know you're paying attention.",7721,"Have you downloaded any new mobile applications such as Instagram?","Do you utilize any form of digital assistance like Google Assistant, Siri, or Alexa?","Have you engaged in any virtual reality experiences using devices like Oculus Rift, HTC Vive, or PlayStation VR?","Do you interact with any form of AI for entertainment or information purposes like using ChatGPT, navigating with Google Maps, or getting movie recommendations from Netflix?","Have you read an ebook or listened to an audiobook using platforms such as Kindle, Audible, or Scribd recently?","Have you streamed a live event or participated in a webinar on platforms like Twitch, Zoom, or Facebook Live?","Do you rely on online reviews or ratings from sources like Yelp, Amazon, or TripAdvisor when making purchasing decisions?","Have you used Coursera before?","Are you currently a user of a companion AI application, such as Replika or Chai?",7721
"2","{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID19""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31""}",2,"{""ImportId"":""QID1215718105""}","{""ImportId"":""QID1215718106""}","{""ImportId"":""QID1215718107""}","{""ImportId"":""QID1215718108""}","{""ImportId"":""QID1215718109""}","{""ImportId"":""QID1215718110""}","{""ImportId"":""QID1215718111""}","{""ImportId"":""QID1215718112""}","{""ImportId"":""QID1215718113""}",2
"3","2024-01-30 13:37:03","2024-01-30 13:38:05","IP Address","100","62","True","2024-01-30 13:38:07","R_6P6Jc8oNoHQRXo5","anonymous","EN","1","I agree to participate in this study","Paul","Purple",1893,"yes","yes","no","no","yes","yes","yes","no","no",1893
"4","2024-01-30 13:37:36","2024-01-30 13:38:17","IP Address","100","40","True","2024-01-30 13:38:17","R_5f76qMUgUhvUAle","anonymous","EN","0.8999999761581421","I agree to participate in this study","Paul","Purple",1492,"yes","yes","yes","yes","no","yes","yes","no","no",1492
"5","2024-01-30 13:37:05","2024-01-30 13:39:25","IP Address","100","140","True","2024-01-30 13:39:26","R_30Zia8OEAlB2nex","anonymous","EN","0.8999999761581421","I agree to participate in this study","Paul","Purple",2263,"yes","no","no","yes","no","no","yes","no","no",2263
"6","2024-01-30 13:39:20","2024-01-30 13:41:27","IP Address","100","126","True","2024-01-30 13:41:28","R_7yguLqySL7lXkbL","anonymous","EN","0.8999999761581421","I agree to participate in this study","Paul","Purple",2606,"no","no","no","yes","no","no","yes","no","no",2606
"7","2024-01-30 13:42:07","2024-01-30 13:43:05","IP Address","100","58","True","2024-01-30 13:43:06","R_711OOn8IF58Ml4O","anonymous","EN","1","I agree to participate in this study","Paul","Purple",1739,"yes","yes","no","no","yes","no","yes","no","no",1739
"8","2024-01-30 13:43:51","2024-01-30 13:44:41","IP Address","100","50","True","2024-01-30 13:44:42","R_6HdjnyxyaXvgdQt","anonymous","EN","1","I agree to participate in this study","Paul","Purple",3341,"yes","yes","yes","yes","yes","yes","yes","yes","no",3341
"9","2024-01-30 13:44:05","2024-01-30 13:44:48","IP Address","100","42","True","2024-01-30 13:44:49","R_6VvuZ4vIYDsSfEr","anonymous","EN","0.800000011920929","I agree to participate in this study","Paul","Purple",1411,"no","no","no","no","no","no","no","no","no",1411
"10","2024-01-30 13:43:27","2024-01-30 13:45:03","IP Address","100","96","True","2024-01-30 13:45:04","R_1i5tXiqs5PdVwYC","anonymous","EN","0.8999999761581421","I agree to participate in this study","Paul","Purple",3279,"yes","no","no","no","no","no","no","no","no",3279
"11","2024-01-30 13:44:17","2024-01-30 13:45:22","IP Address","100","64","True","2024-01-30 13:45:23","R_6LAwyHkLF2G3grY","anonymous","EN","0.8999999761581421","I agree to participate in this study","Paul","Purple",4677,"no","no","no","no","yes","yes","yes","yes","no",4677
"12","2024-01-30 13:45:39","2024-01-30 13:46:31","IP Address","100","52","True","2024-01-30 13:46:32","R_3OJPUqhVdw8IpWF","anonymous","EN","0.8999999761581421","I agree to participate in this study","Paul","Purple",4919,"yes","yes","yes","no","no","yes","yes","yes","no",4919
"13","2024-01-30 13:46:25","2024-01-30 13:47:04","IP Address","100","39","True","2024-01-30 13:47:05","R_3FaMNxwDxM8kmqt","anonymous","EN","0.8999999761581421","I agree to participate in this study","Paul","Purple",1293,"yes","yes","no","no","no","yes","yes","no","no",1293
"14","2024-01-30 13:46:20","2024-01-30 13:47:31","IP Address","100","71","True","2024-01-30 13:47:32","R_3elzNn2kmDTfVpN","anonymous","EN","0.8999999761581421","I agree to participate in this study","Paul","Purple",3915,"yes","no","yes","no","no","yes","yes","no","no",3915
"15","2024-01-30 13:46:41","2024-01-30 13:48:24","IP Address","100","102","True","2024-01-30 13:48:25","R_3CW46kTqRUChrid","anonymous","EN","0.8999999761581421","I agree to participate in this study","Paul","Purple",2491,"yes","yes","yes","yes","yes","yes","yes","no","no",2491
"16","2024-01-30 13:50:45","2024-01-30 13:51:19","IP Address","100","34","True","2024-01-30 13:51:20","R_3WImnd8Nsr42EpF","anonymous","EN","0.8999999761581421","I agree to participate in this study","Paul","Purple",2383,"yes","yes","no","yes","no","yes","no","no","no",2383
"17","2024-01-30 13:52:07","2024-01-30 13:53:04","IP Address","100","56","True","2024-01-30 13:53:06","R_32ivdJ3pJnSIOMV","anonymous","EN","1","I agree to participate in this study","Paul","Purple",6592,"yes","no","no","yes","no","yes","yes","no","no",6592
"18","2024-01-30 13:53:13","2024-01-30 13:53:26","IP Address","100","13","True","2024-01-30 13:53:27","R_7D1P459P5IAu2Ix","anonymous","EN","0.8999999761581421","I agree to participate in this study","Paul","Green",1,"","","","","","","","","",1
"19","2024-01-30 13:52:20","2024-01-30 13:53:30","IP Address","100","70","True","2024-01-30 13:53:31","R_1TpcpxEV0YoY5E5","anonymous","EN","0.8999999761581421","I agree to participate in this study","Paul","Purple",3959,"yes","yes","no","no","no","no","yes","no","no",3959
"20","2024-01-30 13:53:08","2024-01-30 13:53:42","IP Address","100","34","True","2024-01-30 13:53:43","R_6VD7uZawfRqXfiP","anonymous","EN","1","I agree to participate in this study","Paul","Purple",1479,"yes","yes","no","no","yes","yes","yes","no","no",1479
"21","2024-01-30 13:53:03","2024-01-30 13:54:02","IP Address","100","58","True","2024-01-30 13:54:03","R_1IK4ctJZHt8bk5r","anonymous","EN","0.699999988079071","I agree to participate in this study","Paul","Purple",1273,"no","yes","no","yes","no","no","yes","no","no",1273
"22","2024-01-30 13:53:38","2024-01-30 13:54:29","IP Address","100","51","True","2024-01-30 13:54:30","R_7pz0kQdjprpXZCV","anonymous","EN","0.8999999761581421","I agree to participate in this study","Paul","Purple",6975,"yes","yes","yes","yes","no","yes","yes","no","no",6975
"23","2024-01-30 13:53:46","2024-01-30 13:54:49","IP Address","100","62","True","2024-01-30 13:54:49","R_6NHAp5XxMR1DL8t","anonymous","EN","1","I agree to participate in this study","Paul","Purple",392,"yes","yes","no","yes","no","yes","yes","no","no",392
"24","2024-01-30 13:52:45","2024-01-30 13:55:22","IP Address","100","156","True","2024-01-30 13:55:23","R_7pfiwWOphSS6toL","anonymous","EN","0.8999999761581421","I agree to participate in this study","Paul","Purple",2873,"yes","yes","no","no","yes","yes","yes","no","no",2873
"25","2024-01-30 13:55:28","2024-01-30 13:56:16","IP Address","100","47","True","2024-01-30 13:56:17","R_5lsoJyv2S0mQwOW","anonymous","EN","0.800000011920929","I agree to participate in this study","Paul","Purple",234,"yes","yes","no","no","no","yes","yes","yes","no",234
"26","2024-01-30 13:55:35","2024-01-30 13:56:25","IP Address","100","50","True","2024-01-30 13:56:26","R_7drN5VGJU3057Xz","anonymous","EN","1","I agree to participate in this study","Paul","Purple",3496,"yes","yes","no","yes","no","no","yes","no","no",3496
"27","2024-01-30 13:55:27","2024-01-30 13:56:35","IP Address","100","67","True","2024-01-30 13:56:36","R_7bWfcEMuZ4W3gyo","anonymous","EN","0.8999999761581421","I agree to participate in this study","Paul","Purple",4923,"yes","yes","no","yes","no","yes","yes","yes","no",4923
"28","2024-01-30 13:54:49","2024-01-30 13:57:22","IP Address","100","152","True","2024-01-30 13:57:22","R_5ZUe64Hg4xpdtuJ","anonymous","EN","1","I agree to participate in this study","Paul","Purple",6652,"yes","no","yes","yes","no","yes","yes","no","no",6652
"29","2024-01-30 13:57:08","2024-01-30 13:57:59","IP Address","100","51","True","2024-01-30 13:58:00","R_62MD0ZhZQj6H1le","anonymous","EN","0.8999999761581421","I agree to participate in this study","Paul","Purple",3546,"yes","no","no","yes","no","no","yes","no","no",3546
"30","2024-01-30 13:57:56","2024-01-30 13:59:12","IP Address","100","75","True","2024-01-30 13:59:14","R_36l2AKRq4HRKigs","anonymous","EN","1","I agree to participate in this study","Paul","Purple",3658,"yes","yes","yes","yes","no","yes","yes","no","yes",3658
"31","2024-01-30 13:58:26","2024-01-30 13:59:28","IP Address","100","61","True","2024-01-30 13:59:29","R_7OYhmPiwPsfXJPr","anonymous","EN","0.8999999761581421","I agree to participate in this study","Paul","Purple",6815,"yes","yes","yes","no","no","yes","yes","no","no",6815
"32","2024-01-30 13:57:26","2024-01-30 13:59:27","IP Address","100","121","True","2024-01-30 13:59:29","R_7Dhjs1o71ctCbLI","anonymous","EN","1","I agree to participate in this study","Paul","Purple",4482,"yes","yes","yes","no","no","no","yes","no","no",4482
"33","2024-01-30 13:59:36","2024-01-30 14:00:40","IP Address","100","63","True","2024-01-30 14:00:42","R_3Q2MhUCVeokeENP","anonymous","EN","0.8999999761581421","I agree to participate in this study","Paul","Purple",588,"yes","yes","no","yes","yes","yes","yes","yes","no",588
"34","2024-01-30 14:01:29","2024-01-30 14:02:17","IP Address","100","48","True","2024-01-30 14:02:18","R_3rZbJ0FqLKpb5KX","anonymous","EN","1","I agree to participate in this study","Paul","Purple",7330,"yes","yes","no","yes","yes","no","yes","no","no",7330
"35","2024-01-30 14:02:30","2024-01-30 14:03:22","IP Address","100","52","True","2024-01-30 14:03:25","R_6uisuRTFBleVft7","anonymous","EN","1","I agree to participate in this study","Paul","Purple",5704,"yes","yes","no","yes","no","no","no","no","no",5704
"36","2024-01-30 14:02:06","2024-01-30 14:03:32","IP Address","100","85","True","2024-01-30 14:03:33","R_5QVpKMkIsI3LT1L","anonymous","EN","0.8999999761581421","I agree to participate in this study","Paul","Purple",5274,"yes","no","no","yes","yes","yes","yes","no","no",5274
"37","2024-01-30 14:03:29","2024-01-30 14:04:34","IP Address","100","64","True","2024-01-30 14:04:35","R_5NO4otvOQH9H1Qu","anonymous","EN","0.8999999761581421","I agree to participate in this study","Paul","Purple",5332,"yes","yes","yes","yes","no","yes","yes","no","yes",5332
"38","2024-01-30 14:02:40","2024-01-30 14:04:36","IP Address","100","115","True","2024-01-30 14:04:37","R_5WIPLkGmHAJtt8D","anonymous","EN","1","I agree to participate in this study","Paul","Purple",271,"yes","yes","no","yes","yes","yes","yes","yes","no",271
"39","2024-01-30 14:06:01","2024-01-30 14:06:55","IP Address","100","53","True","2024-01-30 14:06:56","R_7gCGs61Uqx0DXU7","anonymous","EN","0.8999999761581421","I agree to participate in this study","Paul","Purple",3401,"yes","yes","yes","yes","yes","yes","yes","yes","no",3401
"40","2024-01-30 14:06:10","2024-01-30 14:06:59","IP Address","100","48","True","2024-01-30 14:07:00","R_6mO4TUjkcw3zyON","anonymous","EN","0.8999999761581421","I agree to participate in this study","Paul","Purple",3348,"no","no","no","no","yes","no","yes","no","no",3348
"41","2024-01-30 14:05:11","2024-01-30 14:07:20","IP Address","100","129","True","2024-01-30 14:07:21","R_55LesuTdIQV8b8C","anonymous","EN","0.8999999761581421","I agree to participate in this study","Paul","Purple",3913,"no","yes","no","no","yes","no","no","no","yes",3913
"42","2024-01-30 14:05:53","2024-01-30 14:07:39","IP Address","100","106","True","2024-01-30 14:07:40","R_3IRfgJdSD96Lu1i","anonymous","EN","0.8999999761581421","I agree to participate in this study","Paul","Purple",7327,"yes","no","no","yes","no","yes","yes","no","no",7327
